Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2021,Montgomery,MD,Passenger,1,0,1,235,236,0.42
March 31 2023,Marin,CA,Passenger,0,1,1,31,32,3.12
September 30 2023,Marion,IA,Passenger,1,0,1,0,1,100.00
July 31 2017,Yakima,WA,Passenger,49,62,111,159649,159760,0.07
September 30 2022,Skamania,WA,Passenger,85,51,136,8111,8247,1.65
March 31 2020,Pacific,WA,Passenger,29,34,63,16021,16084,0.39
October 31 2021,Bexar,TX,Passenger,3,5,8,516,524,1.53
March 31 2023,Lewis,WA,Truck,5,0,5,26127,26132,0.02
August 31 2023,Pacific,WA,Truck,5,0,5,7831,7836,0.06
May 31 2018,Okaloosa,FL,Passenger,1,0,1,175,176,0.57
September 30 2023,Atlantic,NJ,Passenger,1,0,1,10,11,9.09
July 31 2023,Spokane,WA,Passenger,2370,1141,3511,321814,325325,1.08
August 31 2020,Franklin,WA,Passenger,66,77,143,60781,60924,0.23
August 31 2023,Lincoln,WA,Truck,0,0,0,4834,4834,0.00
June 30 2022,Kittitas,WA,Truck,1,0,1,14655,14656,0.01
September 30 2021,Richmond,GA,Passenger,0,1,1,76,77,1.30
February 28 2019,Columbia,WA,Truck,0,0,0,1525,1525,0.00
April 30 2022,Kauai,HI,Passenger,1,0,1,20,21,4.76
January 31 2023,San Diego,CA,Passenger,20,9,29,2219,2248,1.29
January 31 2023,Suffolk,VA,Passenger,1,0,1,113,114,0.88
October 31 2021,Washtenaw,MI,Passenger,0,1,1,29,30,3.33
June 30 2019,Arlington,VA,Passenger,0,2,2,164,166,1.20
July 31 2021,New York,NY,Passenger,1,0,1,43,44,2.27
July 31 2021,Grays Harbor,WA,Truck,0,0,0,21417,21417,0.00
September 30 2023,Howard,MD,Passenger,0,2,2,45,47,4.26
March 31 2021,Collier,FL,Passenger,1,0,1,18,19,5.26
January 31 2020,Kitsap,WA,Truck,1,0,1,54480,54481,0.00
October 31 2021,King,WA,Truck,4,1,5,183458,183463,0.00
September 30 2023,Douglas,WA,Truck,8,0,8,12957,12965,0.06
May 31 2021,Pacific,WA,Truck,0,0,0,7938,7938,0.00
September 30 2023,Island,WA,Passenger,1177,464,1641,60543,62184,2.64
December 31 2019,Pend Oreille,WA,Passenger,7,7,14,9514,9528,0.15
June 30 2019,Oldham,KY,Passenger,0,1,1,5,6,16.67
February 28 2019,Washington,OR,Passenger,0,1,1,471,472,0.21
March 31 2021,Flathead,MT,Passenger,1,0,1,53,54,1.85
March 31 2023,San Juan,WA,Truck,10,0,10,5911,5921,0.17
October 31 2022,Bryan,GA,Passenger,0,1,1,33,34,2.94
January 31 2023,Cowlitz,WA,Passenger,421,193,614,70227,70841,0.87
March 31 2021,Grant,WA,Passenger,93,87,180,66428,66608,0.27
November 30 2017,Asotin,WA,Passenger,7,5,12,12511,12523,0.10
January 31 2021,Richland,SC,Passenger,0,1,1,142,143,0.70
April 30 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
August 31 2021,Ulster,NY,Passenger,1,0,1,12,13,7.69
February 28 2023,Washtenaw,MI,Passenger,0,1,1,23,24,4.17
November 30 2022,Cowlitz,WA,Passenger,391,188,579,70233,70812,0.82
January 31 2023,Skagit,WA,Passenger,955,364,1319,89348,90667,1.45
May 31 2023,Jefferson,WA,Passenger,551,260,811,24279,25090,3.23
May 31 2018,Sacramento,CA,Passenger,1,0,1,312,313,0.32
December 31 2020,Houston,GA,Passenger,1,0,1,50,51,1.96
July 31 2021,St. Mary's,MD,Passenger,1,0,1,210,211,0.47
October 31 2020,Maricopa,AZ,Passenger,5,8,13,1401,1414,0.92
June 30 2021,Adams,WA,Truck,0,0,0,5386,5386,0.00
July 31 2022,Whatcom,WA,Passenger,1864,754,2618,148723,151341,1.73
June 30 2017,Pierce,WA,Passenger,956,842,1798,524907,526705,0.34
June 30 2022,St. Clair,IL,Passenger,2,0,2,115,117,1.71
August 31 2019,Anne Arundel,MD,Passenger,1,1,2,440,442,0.45
March 31 2017,Spokane,WA,Truck,1,0,1,90252,90253,0.00
March 31 2021,Stafford,VA,Passenger,2,1,3,100,103,2.91
February 28 2019,Carson City,NV,Passenger,1,0,1,14,15,6.67
December 31 2022,Yellowstone,MT,Passenger,0,1,1,18,19,5.26
January 31 2023,Chelan,WA,Passenger,554,146,700,54332,55032,1.27
September 30 2017,Fairfax,VA,Passenger,3,2,5,848,853,0.59
September 30 2020,Skamania,WA,Passenger,32,21,53,8369,8422,0.63
June 30 2021,Jefferson,NY,Passenger,0,1,1,216,217,0.46
October 31 2018,Washoe,NV,Passenger,1,0,1,114,115,0.87
August 31 2023,Hillsborough,FL,Passenger,1,2,3,90,93,3.23
August 31 2023,Henrico,VA,Passenger,0,1,1,5,6,16.67
February 28 2022,Dorchester,SC,Passenger,1,0,1,67,68,1.47
September 30 2019,Grant,WA,Passenger,48,63,111,65166,65277,0.17
June 30 2021,Kitsap,WA,Passenger,1850,858,2708,180451,183159,1.48
October 31 2020,Loudoun,VA,Passenger,1,0,1,79,80,1.25
March 31 2022,Suffolk,MA,Passenger,0,1,1,26,27,3.70
June 30 2021,Washington,MD,Passenger,1,0,1,13,14,7.14
January 31 2017,Franklin,MA,Passenger,0,1,1,5,6,16.67
November 30 2018,St. Mary's,MD,Passenger,1,0,1,220,221,0.45
August 31 2023,James City,VA,Passenger,1,0,1,37,38,2.63
December 31 2021,Douglas,WA,Truck,0,0,0,12697,12697,0.00
March 31 2020,Santa Clara,CA,Passenger,7,2,9,336,345,2.61
June 30 2022,Asotin,WA,Passenger,23,19,42,12720,12762,0.33
October 31 2021,Geary,KS,Passenger,1,0,1,98,99,1.01
February 28 2017,Charles,MD,Passenger,0,1,1,92,93,1.08
June 30 2019,Middlesex,MA,Passenger,1,1,2,117,119,1.68
December 31 2020,Putnam,TN,Passenger,0,1,1,3,4,25.00
September 30 2022,Wahkiakum,WA,Truck,1,0,1,1799,1800,0.06
July 31 2018,El Paso,TX,Passenger,1,0,1,515,516,0.19
April 30 2022,Portsmouth,VA,Passenger,0,1,1,82,83,1.20
July 31 2021,Asotin,WA,Truck,0,0,0,6763,6763,0.00
November 30 2017,Adams,WA,Truck,0,0,0,5140,5140,0.00
October 31 2019,Sedgwick,KS,Passenger,1,1,2,100,102,1.96
March 31 2021,Calvert,MD,Passenger,0,2,2,83,85,2.35
May 31 2022,Hamilton,IN,Passenger,1,0,1,23,24,4.17
October 31 2021,Essex,NJ,Passenger,2,0,2,13,15,13.33
January 31 2022,Washington,MD,Passenger,2,0,2,14,16,12.50
March 31 2018,Kitsap,WA,Truck,1,0,1,52967,52968,0.00
June 30 2020,Stevens,WA,Truck,0,0,0,18642,18642,0.00
February 29 2020,Whitman,WA,Passenger,42,48,90,22610,22700,0.40
November 30 2019,Snohomish,WA,Truck,0,0,0,123152,123152,0.00
August 31 2017,Charles,MD,Passenger,0,1,1,86,87,1.15
May 31 2023,Travis,TX,Passenger,3,0,3,84,87,3.45
October 31 2020,Washoe,NV,Passenger,1,0,1,107,108,0.93
August 31 2023,District of Columbia,DC,Passenger,4,0,4,138,142,2.82
October 31 2021,Sarasota,FL,Passenger,2,0,2,34,36,5.56
June 30 2023,Klickitat,WA,Truck,12,0,12,8234,8246,0.15
July 31 2021,Island,WA,Truck,0,0,0,21550,21550,0.00
November 30 2018,Norfolk,VA,Passenger,2,2,4,346,350,1.14
January 31 2021,Hawaii,HI,Passenger,1,0,1,55,56,1.79
September 30 2023,Moore,NC,Passenger,0,1,1,100,101,0.99
July 31 2021,Suffolk,MA,Passenger,0,2,2,33,35,5.71
August 31 2023,Washtenaw,MI,Passenger,0,1,1,18,19,5.26
September 30 2023,Douglas,NE,Passenger,1,1,2,25,27,7.41
January 31 2020,Pinellas,FL,Passenger,1,1,2,117,119,1.68
September 30 2019,Asotin,WA,Truck,0,0,0,6682,6682,0.00
November 30 2023,Pend Oreille,WA,Truck,2,0,2,5416,5418,0.04
August 31 2023,Suffolk,VA,Passenger,1,0,1,89,90,1.11
July 31 2020,New York,NY,Passenger,1,0,1,57,58,1.72
April 30 2023,Randolph,NC,Passenger,1,0,1,3,4,25.00
December 31 2021,Chelan,WA,Passenger,408,114,522,54675,55197,0.95
October 31 2018,Cowlitz,WA,Truck,0,0,0,28665,28665,0.00
February 28 2017,Thurston,WA,Passenger,351,309,660,184874,185534,0.36
March 31 2021,Kitsap,WA,Passenger,1674,799,2473,179688,182161,1.36
July 31 2019,Clallam,WA,Passenger,177,144,321,50639,50960,0.63
November 30 2023,Garfield,OK,Passenger,1,0,1,12,13,7.69
June 30 2018,Juneau,AK,Passenger,0,1,1,45,46,2.17
October 31 2020,Frederick,MD,Passenger,1,1,2,74,76,2.63
October 31 2023,Madison,IL,Passenger,1,0,1,14,15,6.67
October 31 2019,Queens,NY,Passenger,1,0,1,52,53,1.89
November 30 2020,Larimer,CO,Passenger,1,0,1,52,53,1.89
December 31 2020,Pacific,WA,Passenger,34,35,69,15721,15790,0.44
November 30 2017,Okanogan,WA,Truck,0,0,0,16274,16274,0.00
July 31 2020,,,Passenger,5,1,6,366,372,1.61
August 31 2023,Island,WA,Passenger,1151,451,1602,60854,62456,2.57
May 31 2019,Pinellas,FL,Passenger,1,0,1,117,118,0.85
October 31 2023,Snohomish,WA,Truck,217,0,217,118173,118390,0.18
February 28 2017,Volusia,FL,Passenger,0,1,1,49,50,2.00
April 30 2023,Solano,CA,Passenger,5,0,5,143,148,3.38
October 31 2017,Nassau,NY,Passenger,1,1,2,40,42,4.76
February 28 2023,Cumberland,PA,Passenger,1,0,1,37,38,2.63
October 31 2019,Mercer,NJ,Passenger,0,1,1,19,20,5.00
March 31 2021,Contra Costa,CA,Passenger,3,4,7,272,279,2.51
December 31 2021,Hennepin,MN,Passenger,3,0,3,66,69,4.35
November 30 2021,Wake,NC,Passenger,1,0,1,118,119,0.84
December 31 2018,Maricopa,AZ,Passenger,3,3,6,1589,1595,0.38
September 30 2021,Contra Costa,CA,Passenger,2,4,6,261,267,2.25
June 30 2021,Deschutes,OR,Passenger,1,0,1,118,119,0.84
February 28 2022,District of Columbia,DC,Passenger,5,0,5,185,190,2.63
May 31 2023,York,VA,Passenger,1,0,1,77,78,1.28
October 31 2022,DuPage,IL,Passenger,0,1,1,43,44,2.27
September 30 2021,Henrico,VA,Passenger,0,1,1,13,14,7.14
June 30 2023,Mercer,NJ,Passenger,0,1,1,10,11,9.09
January 31 2023,Louisa,VA,Passenger,0,1,1,1,2,50.00
December 31 2017,Kitsap,WA,Passenger,693,377,1070,175852,176922,0.60
February 28 2017,King,WA,Passenger,9095,3713,12808,1385121,1397929,0.92
October 31 2019,Grays Harbor,WA,Passenger,95,95,190,48299,48489,0.39
October 31 2020,Kings,NY,Passenger,1,0,1,65,66,1.52
October 31 2021,Plaquemines,LA,Passenger,0,1,1,18,19,5.26
July 31 2022,Allen,IN,Passenger,1,0,1,18,19,5.26
November 30 2022,Pend Oreille,WA,Passenger,19,13,32,8971,9003,0.36
August 31 2021,Yamhill,OR,Passenger,1,0,1,38,39,2.56
July 31 2017,Island,WA,Passenger,121,142,263,60265,60528,0.43
June 30 2017,Walla Walla,WA,Passenger,25,26,51,34843,34894,0.15
May 31 2021,Stevens,WA,Truck,0,0,0,18954,18954,0.00
May 31 2017,Dale,AL,Passenger,0,1,1,64,65,1.54
July 31 2021,Miami-Dade,FL,Passenger,1,0,1,98,99,1.01
August 31 2018,Howard,MD,Passenger,0,1,1,87,88,1.14
January 31 2020,Camden,NJ,Passenger,0,2,2,21,23,8.70
August 31 2018,Queens,NY,Passenger,1,0,1,62,63,1.59
September 30 2017,Garfield,WA,Passenger,1,0,1,1295,1296,0.08
August 31 2023,Kittitas,WA,Passenger,385,107,492,29096,29588,1.66
December 31 2022,Ventura,CA,Passenger,3,2,5,223,228,2.19
March 31 2020,Lincoln,WA,Truck,0,0,0,4656,4656,0.00
July 31 2018,Clallam,WA,Truck,0,0,0,21477,21477,0.00
October 31 2019,Moore,NC,Passenger,0,1,1,179,180,0.56
October 31 2022,San Joaquin,CA,Passenger,1,0,1,86,87,1.15
April 30 2018,Nueces,TX,Passenger,1,1,2,95,97,2.06
May 31 2020,Dallas,TX,Passenger,1,0,1,205,206,0.49
October 31 2023,Richmond,GA,Passenger,0,1,1,55,56,1.79
May 31 2019,San Juan,PR,Passenger,0,1,1,3,4,25.00
January 31 2020,Washtenaw,MI,Passenger,1,0,1,40,41,2.44
January 31 2022,Maui,HI,Passenger,1,0,1,27,28,3.57
December 31 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
December 31 2021,Wilson,TX,Passenger,0,1,1,3,4,25.00
January 31 2018,Grays Harbor,WA,Passenger,42,42,84,45971,46055,0.18
December 31 2021,St. Louis,MO,Passenger,1,0,1,76,77,1.30
September 30 2020,Pacific,WA,Truck,0,0,0,7741,7741,0.00
September 30 2021,Franklin,WA,Truck,0,0,0,20714,20714,0.00
April 30 2017,Cascade,MT,Passenger,0,1,1,62,63,1.59
October 31 2021,St. Clair,IL,Passenger,2,0,2,122,124,1.61
March 31 2017,Wayne,MI,Passenger,0,1,1,73,74,1.35
August 31 2021,Camden,NJ,Passenger,0,1,1,14,15,6.67
April 30 2023,Charleston,SC,Passenger,2,2,4,58,62,6.45
July 31 2022,Bartow,GA,Passenger,0,1,1,3,4,25.00
August 31 2021,Benton,WA,Truck,0,0,0,43604,43604,0.00
October 31 2017,New Haven,CT,Passenger,0,1,1,52,53,1.89
June 30 2018,Okanogan,WA,Passenger,9,19,28,25953,25981,0.11
January 31 2020,Grant,WA,Truck,0,0,0,27033,27033,0.00
September 30 2021,Douglas,WA,Truck,0,0,0,12710,12710,0.00
February 28 2022,Philadelphia,PA,Passenger,1,0,1,42,43,2.33
February 29 2020,Ulster,NY,Passenger,1,0,1,12,13,7.69
May 31 2020,Lee,FL,Passenger,1,0,1,51,52,1.92
July 31 2021,Franklin,WA,Passenger,134,97,231,62041,62272,0.37
January 31 2017,Gwinnett,GA,Passenger,0,1,1,97,98,1.02
November 30 2020,Solano,CA,Passenger,1,0,1,208,209,0.48
September 30 2023,Grays Harbor,WA,Passenger,336,205,541,47666,48207,1.12
November 30 2023,Douglas,WA,Truck,8,0,8,12600,12608,0.06
May 31 2018,Skagit,WA,Truck,1,0,1,32045,32046,0.00
July 31 2019,Stevens,WA,Passenger,19,30,49,31708,31757,0.15
April 30 2020,Garfield,WA,Passenger,0,1,1,1340,1341,0.07
June 30 2022,Charles,MD,Passenger,1,1,2,59,61,3.28
October 31 2018,Marion,OR,Passenger,1,0,1,124,125,0.80
February 28 2022,Manassas,VA,Passenger,0,1,1,8,9,11.11
October 31 2021,Ulster,NY,Passenger,1,0,1,13,14,7.14
August 31 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
April 30 2023,Klickitat,WA,Passenger,139,60,199,15174,15373,1.29
November 30 2017,Walla Walla,WA,Passenger,29,31,60,35237,35297,0.17
August 31 2020,Stevens,WA,Passenger,35,36,71,30482,30553,0.23
February 29 2020,Kittitas,WA,Truck,0,0,0,14650,14650,0.00
April 30 2023,Clark,NV,Passenger,8,2,10,407,417,2.40
October 31 2021,Cook,IL,Passenger,2,0,2,209,211,0.95
October 31 2017,St. Clair,IL,Passenger,0,1,1,161,162,0.62
June 30 2018,Caddo,LA,Passenger,0,1,1,23,24,4.17
October 31 2019,Montgomery,AL,Passenger,0,1,1,39,40,2.50
February 28 2023,Adams,CO,Passenger,1,0,1,31,32,3.12
July 31 2019,Okanogan,WA,Passenger,23,26,49,26120,26169,0.19
August 31 2021,Kittitas,WA,Truck,0,0,0,14781,14781,0.00
November 30 2018,Lincoln,WA,Truck,0,0,0,4628,4628,0.00
November 30 2017,Travis,TX,Passenger,1,1,2,188,190,1.05
October 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
February 28 2021,Bucks,PA,Passenger,1,0,1,21,22,4.55
May 31 2022,Larimer,CO,Passenger,1,0,1,45,46,2.17
March 31 2022,Adams,WA,Passenger,16,11,27,12976,13003,0.21
June 30 2020,Harford,MD,Passenger,0,1,1,60,61,1.64
June 30 2020,Camden,NJ,Passenger,0,1,1,21,22,4.55
July 31 2022,Penobscot,ME,Passenger,0,1,1,9,10,10.00
June 30 2019,Carson City,NV,Passenger,1,0,1,11,12,8.33
June 30 2019,Wilson,TX,Passenger,0,1,1,7,8,12.50
June 30 2023,Marion,IA,Passenger,1,0,1,0,1,100.00
March 31 2021,Spokane,WA,Passenger,951,583,1534,322566,324100,0.47
February 29 2020,Arapahoe,CO,Passenger,1,0,1,145,146,0.68
March 31 2023,Garfield,WA,Passenger,1,3,4,1320,1324,0.30
November 30 2019,Norfolk,VA,Passenger,1,2,3,349,352,0.85
May 31 2023,Cook,IL,Passenger,3,1,4,147,151,2.65
April 30 2017,Grays Harbor,WA,Passenger,29,30,59,44474,44533,0.13
February 29 2020,Placer,CA,Passenger,2,0,2,100,102,1.96
September 30 2022,Yakima,WA,Truck,3,0,3,61397,61400,0.00
September 30 2019,Camden,NJ,Passenger,0,1,1,24,25,4.00
December 31 2022,Miami-Dade,FL,Passenger,1,0,1,65,66,1.52
July 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
September 30 2021,Cook,IL,Passenger,2,0,2,215,217,0.92
July 31 2023,Lewis,WA,Passenger,337,223,560,59179,59739,0.94
March 31 2019,Garfield,WA,Truck,0,0,0,953,953,0.00
February 28 2022,Lake,IL,Passenger,3,0,3,156,159,1.89
November 30 2017,Deschutes,OR,Passenger,1,0,1,183,184,0.54
August 31 2021,Charles,MD,Passenger,1,1,2,73,75,2.67
February 28 2017,Asotin,WA,Passenger,4,3,7,12324,12331,0.06
December 31 2020,Yakima,WA,Truck,0,0,0,60976,60976,0.00
April 30 2021,Garfield,WA,Truck,0,0,0,1006,1006,0.00
March 31 2017,Okaloosa,FL,Passenger,1,0,1,195,196,0.51
August 31 2022,Montgomery,MD,Passenger,4,2,6,197,203,2.96
December 31 2021,Sumter,SC,Passenger,0,1,1,31,32,3.12
October 31 2023,Yellowstone,MT,Passenger,0,1,1,11,12,8.33
September 30 2021,Okanogan,WA,Truck,0,0,0,16698,16698,0.00
September 30 2023,Onslow,NC,Passenger,0,1,1,132,133,0.75
May 31 2020,Sacramento,CA,Passenger,1,0,1,280,281,0.36
May 31 2020,DeKalb,GA,Passenger,1,0,1,84,85,1.18
September 30 2019,Lincoln,WA,Passenger,2,10,12,7807,7819,0.15
September 30 2022,Santa Clara,CA,Passenger,11,2,13,224,237,5.49
January 31 2019,Tarrant,TX,Passenger,1,0,1,208,209,0.48
October 31 2019,Howard,MD,Passenger,0,1,1,77,78,1.28
March 31 2023,Fulton,GA,Passenger,1,0,1,50,51,1.96
January 31 2019,Caddo,LA,Passenger,0,1,1,22,23,4.35
July 31 2022,Bryan,GA,Passenger,0,1,1,35,36,2.78
January 31 2019,Virginia Beach,VA,Passenger,2,1,3,698,701,0.43
July 31 2018,San Diego,CA,Passenger,7,1,8,2574,2582,0.31
September 30 2018,Benton,WA,Truck,0,0,0,41346,41346,0.00
October 31 2018,Pierce,WA,Truck,0,0,0,138766,138766,0.00
October 31 2022,Lewis,WA,Truck,2,0,2,26350,26352,0.01
April 30 2022,Harris,TX,Passenger,2,0,2,162,164,1.22
June 30 2023,Essex,MA,Passenger,1,0,1,11,12,8.33
October 31 2021,Lake,FL,Passenger,1,0,1,22,23,4.35
November 30 2022,Clark,WA,Truck,39,0,39,82021,82060,0.05
January 31 2017,Travis,TX,Passenger,1,1,2,215,217,0.92
September 30 2021,Washington,MD,Passenger,2,0,2,13,15,13.33
July 31 2019,Wilson,TX,Passenger,0,1,1,7,8,12.50
January 31 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
November 30 2018,Pierce,WA,Passenger,1470,1339,2809,538350,541159,0.52
February 28 2021,Virginia Beach,VA,Passenger,3,0,3,635,638,0.47
October 31 2019,Island,WA,Passenger,362,251,613,63603,64216,0.95
March 31 2021,King,WA,Truck,6,1,7,184537,184544,0.00
April 30 2018,Franklin,WA,Passenger,37,59,96,57401,57497,0.17
March 31 2023,San Diego,CA,Passenger,20,9,29,2152,2181,1.33
August 31 2021,Adams,WA,Truck,0,0,0,5413,5413,0.00
July 31 2021,Burlington,NJ,Passenger,0,1,1,126,127,0.79
August 31 2019,Harnett,NC,Passenger,1,1,2,216,218,0.92
April 30 2022,Eagle,CO,Passenger,1,0,1,8,9,11.11
May 31 2018,Maricopa,AZ,Passenger,2,2,4,1607,1611,0.25
August 31 2018,Klickitat,WA,Passenger,24,32,56,15281,15337,0.37
January 31 2023,Wahkiakum,WA,Passenger,25,15,40,3047,3087,1.30
May 31 2022,Anne Arundel,MD,Passenger,4,3,7,354,361,1.94
April 30 2018,Utah,UT,Passenger,0,1,1,141,142,0.70
June 30 2022,Harnett,NC,Passenger,2,0,2,153,155,1.29
May 31 2023,Jefferson,NY,Passenger,2,1,3,179,182,1.65
November 30 2023,Monterey,CA,Truck,1,0,1,24,25,4.00
April 30 2022,Whatcom,WA,Passenger,1775,717,2492,149010,151502,1.64
September 30 2017,Thurston,WA,Truck,0,0,0,53501,53501,0.00
March 31 2021,Douglas,WA,Truck,0,0,0,12553,12553,0.00
May 31 2018,Charleston,SC,Passenger,1,0,1,128,129,0.78
April 30 2021,,,Passenger,3,2,5,339,344,1.45
March 31 2020,Los Angeles,CA,Passenger,6,12,18,1056,1074,1.68
July 31 2020,Fulton,GA,Passenger,1,2,3,99,102,2.94
October 31 2022,Montgomery,MD,Passenger,4,2,6,194,200,3.00
May 31 2023,Parker,TX,Passenger,0,1,1,14,15,6.67
April 30 2019,Richmond,GA,Passenger,0,1,1,95,96,1.04
March 31 2023,Onslow,NC,Passenger,0,1,1,151,152,0.66
July 31 2017,New London,CT,Passenger,1,1,2,252,254,0.79
March 31 2017,Lewis,WA,Truck,0,0,0,24817,24817,0.00
September 30 2022,Alexandria,VA,Passenger,4,0,4,101,105,3.81
January 31 2021,Penobscot,ME,Passenger,0,1,1,10,11,9.09
July 31 2019,Flathead,MT,Passenger,1,0,1,67,68,1.47
July 31 2019,Chelan,WA,Passenger,161,68,229,54428,54657,0.42
September 30 2022,Cook,IL,Passenger,3,0,3,180,183,1.64
May 31 2019,Honolulu,HI,Passenger,2,3,5,511,516,0.97
January 31 2022,Okanogan,WA,Truck,0,0,0,16688,16688,0.00
September 30 2018,Cook,IL,Passenger,1,0,1,262,263,0.38
March 31 2022,Wahkiakum,WA,Truck,0,0,0,1813,1813,0.00
February 28 2019,Portsmouth,VA,Passenger,0,1,1,80,81,1.23
February 28 2021,Carroll,MD,Passenger,0,1,1,21,22,4.55
April 30 2021,Houston,GA,Passenger,1,0,1,48,49,2.04
January 31 2017,Essex,NJ,Passenger,1,0,1,18,19,5.26
May 31 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
August 31 2018,Spokane,WA,Truck,1,0,1,93015,93016,0.00
August 31 2023,Shasta,CA,Passenger,1,0,1,19,20,5.00
October 31 2022,Saratoga,NY,Passenger,1,0,1,40,41,2.44
March 31 2018,St. Clair,IL,Passenger,0,1,1,154,155,0.65
October 31 2018,Pinal,AZ,Passenger,2,0,2,207,209,0.96
February 28 2021,Montgomery,TX,Passenger,1,0,1,53,54,1.85
July 31 2021,Clinton,PA,Passenger,1,0,1,0,1,100.00
January 31 2021,Walla Walla,WA,Truck,0,0,0,13896,13896,0.00
October 31 2019,Ada,ID,Passenger,0,2,2,309,311,0.64
January 31 2021,Pima,AZ,Passenger,2,1,3,334,337,0.89
September 30 2021,San Juan,WA,Passenger,462,143,605,14182,14787,4.09
September 30 2020,San Juan,WA,Truck,0,0,0,5845,5845,0.00
November 30 2018,Nassau,NY,Passenger,3,0,3,38,41,7.32
October 31 2020,Jefferson,NY,Passenger,0,1,1,210,211,0.47
December 31 2020,Camden,NJ,Passenger,0,1,1,19,20,5.00
July 31 2019,Lincoln,WA,Passenger,2,10,12,7793,7805,0.15
August 31 2021,Fairbanks North Star,AK,Passenger,0,1,1,81,82,1.22
June 30 2022,Pacific,WA,Truck,0,0,0,7913,7913,0.00
November 30 2020,Wahkiakum,WA,Passenger,6,6,12,3038,3050,0.39
August 31 2023,Frederick,MD,Passenger,1,1,2,50,52,3.85
June 30 2022,Asotin,WA,Truck,0,0,0,6716,6716,0.00
November 30 2021,Lake,FL,Passenger,1,0,1,22,23,4.35
July 31 2017,Dakota,MN,Passenger,0,1,1,38,39,2.56
November 30 2018,Montgomery,PA,Passenger,2,0,2,34,36,5.56
January 31 2023,Sumter,SC,Passenger,0,1,1,32,33,3.03
May 31 2018,Caddo,LA,Passenger,0,1,1,22,23,4.35
February 28 2018,Douglas,WA,Passenger,43,33,76,27318,27394,0.28
August 31 2022,Harris,TX,Passenger,1,0,1,141,142,0.70
January 31 2023,,,Passenger,2,0,2,268,270,0.74
July 31 2023,Lincoln,WA,Truck,0,0,0,4845,4845,0.00
January 31 2018,Ferry,WA,Truck,0,0,0,3545,3545,0.00
November 30 2019,Clark,NV,Passenger,5,2,7,696,703,1.00
June 30 2020,Chelan,WA,Truck,0,0,0,22521,22521,0.00
September 30 2020,Lincoln,WA,Truck,0,0,0,4637,4637,0.00
January 31 2020,Franklin,WA,Truck,0,0,0,19848,19848,0.00
June 30 2019,El Paso,CO,Passenger,2,2,4,735,739,0.54
October 31 2023,Sarpy,NE,Passenger,1,0,1,45,46,2.17
March 31 2023,Cowlitz,WA,Passenger,437,196,633,70158,70791,0.89
August 31 2023,Grant,WA,Truck,12,0,12,27960,27972,0.04
September 30 2022,Multnomah,OR,Passenger,1,3,4,511,515,0.78
November 30 2023,DeKalb,GA,Passenger,1,0,1,35,36,2.78
July 31 2022,Cumberland,NC,Passenger,1,4,5,360,365,1.37
October 31 2017,El Paso,CO,Passenger,2,0,2,771,773,0.26
July 31 2020,Spokane,WA,Truck,1,0,1,98966,98967,0.00
May 31 2020,,,Passenger,5,1,6,379,385,1.56
November 30 2021,Moore,NC,Passenger,0,1,1,125,126,0.79
April 30 2023,Collin,TX,Passenger,3,0,3,46,49,6.12
August 31 2021,Montgomery,MD,Passenger,3,1,4,216,220,1.82
January 31 2022,Wood,OH,Passenger,0,1,1,6,7,14.29
February 29 2020,Boulder,CO,Passenger,1,1,2,51,53,3.77
May 31 2017,Monroe,NY,Passenger,1,0,1,27,28,3.57
September 30 2020,Grays Harbor,WA,Passenger,115,116,231,48471,48702,0.47
February 28 2018,Klickitat,WA,Truck,0,0,0,8033,8033,0.00
November 30 2019,Columbia,WA,Truck,0,0,0,1535,1535,0.00
October 31 2021,San Luis Obispo,CA,Passenger,1,0,1,63,64,1.56
December 31 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
April 30 2020,Island,WA,Passenger,405,271,676,62821,63497,1.06
March 31 2022,Island,WA,Truck,1,0,1,21452,21453,0.00
January 31 2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
June 30 2020,Frederick,MD,Passenger,1,1,2,77,79,2.53
March 31 2017,District of Columbia,DC,Passenger,0,3,3,222,225,1.33
November 30 2020,Grays Harbor,WA,Truck,0,0,0,21129,21129,0.00
July 31 2018,Walla Walla,WA,Passenger,34,44,78,35738,35816,0.22
May 31 2023,Whatcom,WA,Truck,57,0,57,42738,42795,0.13
October 31 2018,Adams,WA,Passenger,5,5,10,12717,12727,0.08
September 30 2021,Camden,NJ,Passenger,0,1,1,14,15,6.67
April 30 2023,Sarasota,FL,Passenger,1,0,1,17,18,5.56
March 31 2020,Gwinnett,GA,Passenger,1,0,1,77,78,1.28
